Claim 0: |{|Model, Vicuna-7b-v1.5|, |method, PAIR|}, ASR , 94| 
Claim 45: |{|Model, Gemini-Pro|, |method, PAIR|}, ANQ , 7.75| 
Claim 46: |{|Model, Gemini-Pro|, |method, TAP|}, ANQ , 6.21| 
Claim 47: |{|Model, Gemini-Pro|, |method, PAP|}, ANQ , 2.1| 
Claim 48: |{|Model, Gemini-Pro|, |method, GPTFuzzer|}, ANQ , 2.306| 
Claim 49: |{|Model, Gemini-Pro|, |method, RedAgent (Ours)|}, ANQ , 3.76| 
Claim 50: |{|Model, Claude-3.5-sonnet|, |method, PAIR|}, ASR , 38| 
Claim 51: |{|Model, Claude-3.5-sonnet|, |method, TAP|}, ASR , 22| 
Claim 52: |{|Model, Claude-3.5-sonnet|, |method, PAP|}, ASR , 16| 
Claim 53: |{|Model, Claude-3.5-sonnet|, |method, GPTFuzzer|}, ASR , 0| 
Claim 54: |{|Model, Claude-3.5-sonnet|, |method, RedAgent (Ours)|}, ASR , 74| 
Claim 55: |{|Model, Claude-3.5-sonnet|, |method, PAIR|}, ANQ , 17.05| 
Claim 56: |{|Model, Claude-3.5-sonnet|, |method, TAP|}, ANQ , 13| 
Claim 57: |{|Model, Claude-3.5-sonnet|, |method, PAP|}, ANQ , 11.75| 
Claim 58: |{|Model, Claude-3.5-sonnet|, |method, GPTFuzzer|}, ANQ , N/A| 
Claim 59: |{|Model, Claude-3.5-sonnet|, |method, RedAgent (Ours)|}, ANQ , 9.54|
