Claim 0: |{ |LLM, GPT-3.5|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, ASR, 7.44|
Claim 21: |{ |LLM, LLaMA-2-70b|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, FPR, 3.00|
Claim 22: |{ |LLM, LLaMA-2-70b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, FPR, 5.34|
Claim 23: |{ |LLM, LLaMA-2-70b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, FPR, 13.12|
Claim 24: |{ |LLM, LLaMA-2-70b|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, Accuracy, 94.56|
Claim 25: |{ |LLM, LLaMA-2-70b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, Accuracy, 93.09|
Claim 26: |{ |LLM, LLaMA-2-70b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, Accuracy, 88.86| 
Claim 27: |{ |LLM, LLaMA-2-7b|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, ASR, 10.87|
Claim 28: |{ |LLM, LLaMA-2-7b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, ASR, 3.49|
Claim 29: |{ |LLM, LLaMA-2-7b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, ASR, 3.13|
Claim 30: |{ |LLM, LLaMA-2-7b|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, FPR, 17.16|
Claim 31: |{ |LLM, LLaMA-2-7b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, FPR, 40.26|
Claim 32: |{ |LLM, LLaMA-2-7b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, FPR, 37.32|
Claim 33: |{ |LLM, LLaMA-2-7b|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, Accuracy, 84.60|
Claim 34: |{ |LLM, LLaMA-2-7b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, Accuracy, 70.06|
Claim 35: |{ |LLM, LLaMA-2-7b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, Accuracy, 72.27| 
Claim 36: |{ |LLM, mistral-7b-v0.2|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, ASR, 12.31|
Claim 37: |{ |LLM, mistral-7b-v0.2|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, ASR, 21.95|
Claim 38: |{ |LLM, mistral-7b-v0.2|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, ASR, 22.82|
Claim 39: |{ |LLM, mistral-7b-v0.2|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, FPR, 3.98|
Claim 40: |{ |LLM, mistral-7b-v0.2|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, FPR, 0.36|
Claim 41: |{ |LLM, mistral-7b-v0.2|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, FPR, 0.60|
Claim 42: |{ |LLM, mistral-7b-v0.2|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, Accuracy, 93.68|
Claim 43: |{ |LLM, mistral-7b-v0.2|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, Accuracy, 93.58|
Claim 44: |{ |LLM, mistral-7b-v0.2|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, Accuracy, 93.17| 
Claim 45: |{ |LLM, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, ASR, 11.59|
Claim 46: |{ |LLM, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, ASR, 14.05|
Claim 47: |{ |LLM, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, ASR, 12.77|
Claim 48: |{ |LLM, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, FPR, 2.22|
Claim 49: |{ |LLM, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, FPR, 0.32|
Claim 50: |{ |LLM, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, FPR, 0.44|
Claim 51: |{ |LLM, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, Accuracy, 95.15|
Claim 52: |{ |LLM, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, Accuracy, 95.83|
Claim 53: |{ |LLM, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, Accuracy, 96.10| 
Claim 54: |{ |LLM, vicuna-13b-v1.5|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, ASR, 26.00|
Claim 55: |{ |LLM, vicuna-13b-v1.5|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, ASR, 26.72|
Claim 56: |{ |LLM, vicuna-13b-v1.5|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, ASR, 26.15|
Claim 57: |{ |LLM, vicuna-13b-v1.5|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, FPR, 2.88|
Claim 58: |{ |LLM, vicuna-13b-v1.5|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, FPR, 0.30|
Claim 59: |{ |LLM, vicuna-13b-v1.5|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, FPR, 0.38|
Claim 60: |{ |LLM, vicuna-13b-v1.5|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, Accuracy, 90.63|
Claim 61: |{ |LLM, vicuna-13b-v1.5|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, Accuracy, 92.29|
Claim 62: |{ |LLM, vicuna-13b-v1.5|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, Accuracy, 92.39| 
Claim 63: |{ |LLM, vicuna-33b|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, ASR, 28.31|
Claim 64: |{ |LLM, vicuna-33b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, ASR, 28.67|
Claim 65: |{ |LLM, vicuna-33b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, ASR, 23.59|
Claim 66: |{ |LLM, vicuna-33b|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, FPR, 2.40|
Claim 67: |{ |LLM, vicuna-33b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, FPR, 0.72|
Claim 68: |{ |LLM, vicuna-33b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, FPR, 1.64|
Claim 69: |{ |LLM, vicuna-33b|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, Accuracy, 90.33|
Claim 70: |{ |LLM, vicuna-33b|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, Accuracy, 91.44|
Claim 71: |{ |LLM, vicuna-33b|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, Accuracy, 92.20| 
Claim 72: |{ |LLM, vicuna-7b-v1.5|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, ASR, 13.33|
Claim 73: |{ |LLM, vicuna-7b-v1.5|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, ASR, 18.21|
Claim 74: |{ |LLM, vicuna-7b-v1.5|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, ASR, 22.31|
Claim 75: |{ |LLM, vicuna-7b-v1.5|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, FPR, 37.84|
Claim 76: |{ |LLM, vicuna-7b-v1.5|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, FPR, 5.18|
Claim 77: |{ |LLM, vicuna-7b-v1.5|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, FPR, 2.40|
Claim 78: |{ |LLM, vicuna-7b-v1.5|, |Dataset, DAN|, |Shots, 1 CoT|, |Task, defending harmful requests| }, Accuracy, 69.04|
Claim 79: |{ |LLM, vicuna-7b-v1.5|, |Dataset, DAN|, |Shots, 2 A|, |Task, defending harmful requests| }, Accuracy, 91.17|
Claim 80: |{ |LLM, vicuna-7b-v1.5|, |Dataset, DAN|, |Shots, 3 A|, |Task, defending harmful requests| }, Accuracy, 92.01|
