Claim 0: |{|Model Name, CodeLlama-7B|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, Acc, 54.0| 
Claim 33: |{|Model Name, CodeLlama-13B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, F1, 67.2| 
Claim 34: |{|Model Name, CodeLlama-13B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, H@1, 61.3| 
Claim 35: |{|Model Name, CodeLlama-13B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, MRR, 65.7| 
Claim 36: |{|Model Name, CodeLlama-13B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, Acc, 62.1| 
Claim 37: |{|Model Name, CodeLlama-13B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, F1, 46.7| 
Claim 38: |{|Model Name, CodeLlama-13B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, H@1, 16.0| 
Claim 39: |{|Model Name, CodeLlama-13B-FT|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, MRR, 20.5| 
Claim 40: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, Acc, 67.0| 
Claim 41: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, F1, 47.3| 
Claim 42: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, H@1, 59.0| 
Claim 43: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, MRR, 64.3| 
Claim 44: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, Acc, 64.3| 
Claim 45: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, F1, 35.7| 
Claim 46: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, H@1, 16.0| 
Claim 47: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, MRR, 20.5| 
Claim 48: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, Acc, 72.1| 
Claim 49: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, F1, 49.1| 
Claim 50: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, H@1, 46.6| 
Claim 51: |{|Model Name, GPT-3.5-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, MRR, 54.0| 
Claim 52: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, Acc, 76.5| 
Claim 53: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, F1, 54.9| 
Claim 54: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, H@1, 63.0| 
Claim 55: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Spider|}, MRR, 66.7| 
Claim 56: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, Acc, 76.2| 
Claim 57: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, F1, 50.1| 
Claim 58: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, H@1, 20.3| 
Claim 59: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, Bird|}, MRR, 23.0| 
Claim 60: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, Acc, 93.8| 
Claim 61: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, F1, 91.1| 
Claim 62: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, H@1, 59.8| 
Claim 63: |{|Model Name, GPT-4-Turbo|, |Evaluation Type, Intrinsic|, |Dataset, GSM8K|}, MRR, 61.6|
