Claim 0: |{|Model Type, Open-source LLM|, |Model Name, Flan-T5-Large|, |Learning Schema, Zero|}, CLIP Score, 0.0| 
Claim 22: |{|Model Type, Open-source LLM|, |Model Name, LLaMA-2-13B|, |Learning Schema, Fine-tuning|}, BERT Score, 0.1570| 
Claim 23: |{|Model Type, Open-source LLM|, |Model Name, LLaMA-2-13B|, |Learning Schema, RLTF|}, BERT Score, 0.2401| 
Claim 24: |{|Model Type, Open-source LLM|, |Model Name, Flan-T5-Large|, |Learning Schema, Zero|}, ViT Score, 0.0| 
Claim 25: |{|Model Type, Open-source LLM|, |Model Name, Flan-T5-Large|, |Learning Schema, Few|}, ViT Score, 0.0| 
Claim 26: |{|Model Type, Open-source LLM|, |Model Name, Flan-T5-Large|, |Learning Schema, Fine-tuning|}, ViT Score, 0.6316| 
Claim 27: |{|Model Type, Open-source LLM|, |Model Name, Flan-T5-Large|, |Learning Schema, RLTF|}, ViT Score, 0.6978| 
Claim 28: |{|Model Type, Open-source LLM|, |Model Name, Vicuna-7B|, |Learning Schema, Zero|}, ViT Score, 0.1704| 
Claim 29: |{|Model Type, Open-source LLM|, |Model Name, Vicuna-7B|, |Learning Schema, Few|}, ViT Score, 0.4285| 
Claim 30: |{|Model Type, Open-source LLM|, |Model Name, Vicuna-7B|, |Learning Schema, Fine-tuning|}, ViT Score, 0.5507| 
Claim 31: |{|Model Type, Open-source LLM|, |Model Name, Vicuna-7B|, |Learning Schema, RLTF|}, ViT Score, 0.7300| 
Claim 32: |{|Model Type, Open-source LLM|, |Model Name, LLaMA-2-13B|, |Learning Schema, Zero|}, ViT Score, 0.3614| 
Claim 33: |{|Model Type, Open-source LLM|, |Model Name, LLaMA-2-13B|, |Learning Schema, Few|}, ViT Score, 0.2558| 
Claim 34: |{|Model Type, Open-source LLM|, |Model Name, LLaMA-2-13B|, |Learning Schema, Fine-tuning|}, ViT Score, 0.6723| 
Claim 35: |{|Model Type, Open-source LLM|, |Model Name, LLaMA-2-13B|, |Learning Schema, RLTF|}, ViT Score, 0.7584| 
Claim 36: |{|Model Type, Open-source LLM|, |Model Name, Flan-T5-Large|, |Learning Schema, Zero|}, Overall, 0.0| 
Claim 37: |{|Model Type, Open-source LLM|, |Model Name, Flan-T5-Large|, |Learning Schema, Few|}, Overall, 0.0829| 
Claim 38: |{|Model Type, Open-source LLM|, |Model Name, Flan-T5-Large|, |Learning Schema, Fine-tuning|}, Overall, 0.2105| 
Claim 39: |{|Model Type, Open-source LLM|, |Model Name, Flan-T5-Large|, |Learning Schema, RLTF|}, Overall, 0.2544| 
Claim 40: |{|Model Type, Open-source LLM|, |Model Name, Vicuna-7B|, |Learning Schema, Zero|}, Overall, 0.0739| 
Claim 41: |{|Model Type, Open-source LLM|, |Model Name, Vicuna-7B|, |Learning Schema, Few|}, Overall, 0.1428| 
Claim 42: |{|Model Type, Open-source LLM|, |Model Name, Vicuna-7B|, |Learning Schema, Fine-tuning|}, Overall, 0.2239| 
Claim 43: |{|Model Type, Open-source LLM|, |Model Name, Vicuna-7B|, |Learning Schema, RLTF|}, Overall, 0.3018| 
Claim 44: |{|Model Type, Open-source LLM|, |Model Name, LLaMA-2-13B|, |Learning Schema, Zero|}, Overall, 0.1533| 
Claim 45: |{|Model Type, Open-source LLM|, |Model Name, LLaMA-2-13B|, |Learning Schema, Few|}, Overall, 0.1817| 
Claim 46: |{|Model Type, Open-source LLM|, |Model Name, LLaMA-2-13B|, |Learning Schema, Fine-tuning|}, Overall, 0.2967| 
Claim 47: |{|Model Type, Open-source LLM|, |Model Name, LLaMA-2-13B|, |Learning Schema, RLTF|}, Overall, 0.3735|
