Claim 0: |{|LLM-Backend, PaLM-2|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.14|
Claim 44: |{|LLM-Backend, GPT-3.5|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.27|
Claim 45: |{|LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.26|
Claim 46: |{|LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 0.35|
Claim 47: |{|LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.13|
Claim 48: |{|LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.58|
Claim 49: |{|LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.85|
Claim 50: |{|LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.16|
Claim 51: |{|LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.52|
Claim 52: |{|LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 0.85|
Claim 53: |{|LLM-Backend, GPT-3.5|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.32|
Claim 54: |{|LLM-Backend, GPT-3.5|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.25|
Claim 55: |{|LLM-Backend, GPT-3.5|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 0.32|
Claim 56: |{|LLM-Backend, GPT-3.5|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.13|
Claim 57: |{|LLM-Backend, GPT-3.5|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.61|
Claim 58: |{|LLM-Backend, GPT-3.5|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.87|
Claim 59: |{|LLM-Backend, GPT-3.5|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.14|
Claim 60: |{|LLM-Backend, GPT-3.5|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.64|
Claim 61: |{|LLM-Backend, GPT-3.5|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 0.86|
Claim 62: |{|LLM-Backend, GPT-3.5|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.13|
Claim 63: |{|LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.22|
Claim 64: |{|LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 0.42|
Claim 65: |{|LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.82|
Claim 66: |{|LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.38|
Claim 67: |{|LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.79|
Claim 68: |{|LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.72|
Claim 69: |{|LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.58|
Claim 70: |{|LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 0.93|
Claim 71: |{|LLM-Backend, GPT-3.5|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.32|
Claim 72: |{|LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.65|
Claim 73: |{|LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 0.89|
Claim 74: |{|LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.12|
Claim 75: |{|LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.74|
Claim 76: |{|LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.89|
Claim 77: |{|LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.07|
Claim 78: |{|LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.73|
Claim 79: |{|LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 0.91|
Claim 80: |{|LLM-Backend, GPT-3.5|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.1|
Claim 81: |{|LLM-Backend, GPT-4|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.78|
Claim 82: |{|LLM-Backend, GPT-4|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 1.0|
Claim 83: |{|LLM-Backend, GPT-4|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.1|
Claim 84: |{|LLM-Backend, GPT-4|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.8|
Claim 85: |{|LLM-Backend, GPT-4|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.99|
Claim 86: |{|LLM-Backend, GPT-4|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.08|
Claim 87: |{|LLM-Backend, GPT-4|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.81|
Claim 88: |{|LLM-Backend, GPT-4|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 1.0|
Claim 89: |{|LLM-Backend, GPT-4|, |Method, IO|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.08|
Claim 90: |{|LLM-Backend, GPT-4|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.76|
Claim 91: |{|LLM-Backend, GPT-4|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 1.0|
Claim 92: |{|LLM-Backend, GPT-4|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.1|
Claim 93: |{|LLM-Backend, GPT-4|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.75|
Claim 94: |{|LLM-Backend, GPT-4|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 1.0|
Claim 95: |{|LLM-Backend, GPT-4|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.11|
Claim 96: |{|LLM-Backend, GPT-4|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.78|
Claim 97: |{|LLM-Backend, GPT-4|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 1.0|
Claim 98: |{|LLM-Backend, GPT-4|, |Method, CoT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.08|
Claim 99: |{|LLM-Backend, GPT-4|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.77|
Claim 100: |{|LLM-Backend, GPT-4|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 0.98|
Claim 101: |{|LLM-Backend, GPT-4|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.09|
Claim 102: |{|LLM-Backend, GPT-4|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.8|
Claim 103: |{|LLM-Backend, GPT-4|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.99|
Claim 104: |{|LLM-Backend, GPT-4|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.09|
Claim 105: |{|LLM-Backend, GPT-4|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.78|
Claim 106: |{|LLM-Backend, GPT-4|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 1.0|
Claim 107: |{|LLM-Backend, GPT-4|, |Method, BaG|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.11|
Claim 108: |{|LLM-Backend, GPT-4|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.46|
Claim 109: |{|LLM-Backend, GPT-4|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 0.84|
Claim 110: |{|LLM-Backend, GPT-4|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.52|
Claim 111: |{|LLM-Backend, GPT-4|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.46|
Claim 112: |{|LLM-Backend, GPT-4|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 0.73|
Claim 113: |{|LLM-Backend, GPT-4|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.4|
Claim 114: |{|LLM-Backend, GPT-4|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.77|
Claim 115: |{|LLM-Backend, GPT-4|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 1.0|
Claim 116: |{|LLM-Backend, GPT-4|, |Method, ToT|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.07|
Claim 117: |{|LLM-Backend, GPT-4|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 1|}, OR, 0.88|
Claim 118: |{|LLM-Backend, GPT-4|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 2|}, FR, 1.0|
Claim 119: |{|LLM-Backend, GPT-4|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 0-shot|, |Metric Index, 3|}, OLR, 0.05|
Claim 120: |{|LLM-Backend, GPT-4|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 1|}, OR, 0.88|
Claim 121: |{|LLM-Backend, GPT-4|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 2|}, FR, 1.0|
Claim 122: |{|LLM-Backend, GPT-4|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 1-shot|, |Metric Index, 3|}, OLR, 0.04|
Claim 123: |{|LLM-Backend, GPT-4|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 1|}, OR, 0.86|
Claim 124: |{|LLM-Backend, GPT-4|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 2|}, FR, 1.0|
Claim 125: |{|LLM-Backend, GPT-4|, |Method, TP|, |Task, Shortest-path Reasoning Task|, |Shot Type, 5-shot|, |Metric Index, 3|}, OLR, 0.05|
