Claim 0: |{ |Model, CodeLlama-13B|, |Method, re-ranking|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 57.5|
Claim 15: |{ |Model, CodeLlama-13B-FT|, |Method, re-ranking|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 14.3|
Claim 16: |{ |Model, CodeLlama-13B-FT|, |Method, iterative correction|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 13.0|
Claim 17: |{ |Model, CodeLlama-13B-FT|, |Method, tree search|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 13.0| 
Claim 18: |{ |Model, CodeLlama-13B (E)|, |Method, re-ranking|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 65.5|
Claim 19: |{ |Model, CodeLlama-13B (E)|, |Method, iterative correction|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 62.0|
Claim 20: |{ |Model, CodeLlama-13B (E)|, |Method, tree search|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 62.5|
Claim 21: |{ |Model, CodeLlama-13B (E)|, |Method, re-ranking|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 21.0|
Claim 22: |{ |Model, CodeLlama-13B (E)|, |Method, iterative correction|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 24.3|
Claim 23: |{ |Model, CodeLlama-13B (E)|, |Method, tree search|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 22.7| 
Claim 24: |{ |Model, GPT-3.5-Turbo (E)|, |Method, re-ranking|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 67.0|
Claim 25: |{ |Model, GPT-3.5-Turbo (E)|, |Method, iterative correction|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 67.5|
Claim 26: |{ |Model, GPT-3.5-Turbo (E)|, |Method, tree search|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 66.0|
Claim 27: |{ |Model, GPT-3.5-Turbo (E)|, |Method, re-ranking|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 22.3|
Claim 28: |{ |Model, GPT-3.5-Turbo (E)|, |Method, iterative correction|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 25.0|
Claim 29: |{ |Model, GPT-3.5-Turbo (E)|, |Method, tree search|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 22.7| 
Claim 30: |{ |Model, CodeLlama-13B-FT (E)|, |Method, re-ranking|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 70.3|
Claim 31: |{ |Model, CodeLlama-13B-FT (E)|, |Method, iterative correction|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 68.0|
Claim 32: |{ |Model, CodeLlama-13B-FT (E)|, |Method, tree search|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 67.5|
Claim 33: |{ |Model, CodeLlama-13B-FT (E)|, |Method, re-ranking|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 23.7|
Claim 34: |{ |Model, CodeLlama-13B-FT (E)|, |Method, iterative correction|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 26.3|
Claim 35: |{ |Model, CodeLlama-13B-FT (E)|, |Method, tree search|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 21.7| 
Claim 36: |{ |Model, Oracle Simulation (τ=1.0)|, |Method, re-ranking|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 71.0|
Claim 37: |{ |Model, Oracle Simulation (τ=1.0)|, |Method, iterative correction|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 76.0|
Claim 38: |{ |Model, Oracle Simulation (τ=1.0)|, |Method, tree search|, |Dataset, Spider|, |Task, text-to-SQL parsing| }, Execution Accuracy, 76.2|
Claim 39: |{ |Model, Oracle Simulation (τ=1.0)|, |Method, re-ranking|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 27.0|
Claim 40: |{ |Model, Oracle Simulation (τ=1.0)|, |Method, iterative correction|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 32.7|
Claim 41: |{ |Model, Oracle Simulation (τ=1.0)|, |Method, tree search|, |Dataset, Bird|, |Task, text-to-SQL parsing| }, Execution Accuracy, 29.3|
