Claim 0: |{ |methods, Pop|, |dataset, ML-1M| }, N@1, 0.26|
Claim 71: |{ |methods, Enumeration (task-wise)|, |dataset, Lastfm| }, N@10, 0.44±0.02|
Claim 72: |{ |methods, RPP (instance-wise)|, |dataset, ML-1M| }, N@1, 0.82±0.03↑↑|
Claim 73: |{ |methods, RPP (instance-wise)|, |dataset, ML-1M| }, N@5, 0.85±0.03↑↑|
Claim 74: |{ |methods, RPP (instance-wise)|, |dataset, ML-1M| }, N@10, 0.87±0.02↑↑|
Claim 75: |{ |methods, RPP (instance-wise)|, |dataset, Games| }, N@1, 0.79±0.03↑↑|
Claim 76: |{ |methods, RPP (instance-wise)|, |dataset, Games| }, N@5, 0.82±0.03↑↑|
Claim 77: |{ |methods, RPP (instance-wise)|, |dataset, Games| }, N@10, 0.85±0.02↑↑|
Claim 78: |{ |methods, RPP (instance-wise)|, |dataset, Lastfm| }, N@1, 0.87±0.01↑↑|
Claim 79: |{ |methods, RPP (instance-wise)|, |dataset, Lastfm| }, N@5, 0.89±0.01↑↑|
Claim 80: |{ |methods, RPP (instance-wise)|, |dataset, Lastfm| }, N@10, 0.91±0.01↑↑|
Claim 81: |{ |methods, Improvement|, |dataset, ML-1M| }, N@1, 0.78|
Claim 82: |{ |methods, Improvement|, |dataset, ML-1M| }, N@5, 0.49|
Claim 83: |{ |methods, Improvement|, |dataset, ML-1M| }, N@10, 0.45|
Claim 84: |{ |methods, Improvement|, |dataset, Games| }, N@1, 0.75|
Claim 85: |{ |methods, Improvement|, |dataset, Games| }, N@5, 0.48|
Claim 86: |{ |methods, Improvement|, |dataset, Games| }, N@10, 0.48|
Claim 87: |{ |methods, Improvement|, |dataset, Lastfm| }, N@1, 0.82|
Claim 88: |{ |methods, Improvement|, |dataset, Lastfm| }, N@5, 0.49|
Claim 89: |{ |methods, Improvement|, |dataset, Lastfm| }, N@10, 0.47|
Claim 90: |{ |methods, RPP+ (instance-wise)|, |dataset, ML-1M| }, N@1, 0.82±0.01↑↑|
Claim 91: |{ |methods, RPP+ (instance-wise)|, |dataset, ML-1M| }, N@5, 0.87±0.01↑↑|
Claim 92: |{ |methods, RPP+ (instance-wise)|, |dataset, ML-1M| }, N@10, 0.89±0.01↑↑|
Claim 93: |{ |methods, RPP+ (instance-wise)|, |dataset, Games| }, N@1, 0.79±0.02↑↑|
Claim 94: |{ |methods, RPP+ (instance-wise)|, |dataset, Games| }, N@5, 0.83±0.02↑↑|
Claim 95: |{ |methods, RPP+ (instance-wise)|, |dataset, Games| }, N@10, 0.85±0.01↑↑|
Claim 96: |{ |methods, RPP+ (instance-wise)|, |dataset, Lastfm| }, N@1, 0.88±0.01↑↑|
Claim 97: |{ |methods, RPP+ (instance-wise)|, |dataset, Lastfm| }, N@5, 0.90±0.01↑↑|
Claim 98: |{ |methods, RPP+ (instance-wise)|, |dataset, Lastfm| }, N@10, 0.92±0.01↑↑|
Claim 99: |{ |methods, Improvement|, |dataset, ML-1M| }, N@1, 0.78%|
Claim 100: |{ |methods, Improvement|, |dataset, ML-1M| }, N@5, 0.49|
Claim 101: |{ |methods, Improvement|, |dataset, ML-1M| }, N@10, 0.45|
Claim 102: |{ |methods, Improvement|, |dataset, Games| }, N@1, 0.79|
Claim 103: |{ |methods, Improvement|, |dataset, Games| }, N@5, 0.51|
Claim 104: |{ |methods, Improvement|, |dataset, Games| }, N@10, 0.49|
Claim 105: |{ |methods, Improvement|, |dataset, Lastfm| }, N@1, 0.88|
Claim 106: |{ |methods, Improvement|, |dataset, Lastfm| }, N@5, 0.54|
Claim 107: |{ |methods, Improvement|, |dataset, Lastfm| }, N@10, 0.48|
