c1.company_id,c1.company_name,c1.industry,c1.sector,c1.categories,c1.company_status,c1.company_type,c1.address,c1.postal_code,c1.city,c1.country,c1.state,c1.foundation_year,c1.registration_date,c1.website,c1.rank,c1.market_cap_or_valuation,c1.number_of_employees,c1.ceo,c1.assets,c1.profit_or_net_income,c1.revenue,c1.share_price,c1.change_1_day,c1.change_1_year,c1.debts,c1.phone,c1.notes_or_description,c2.company_id,c2.company_name,c2.industry,c2.sector,c2.categories,c2.company_status,c2.company_type,c2.address,c2.postal_code,c2.city,c2.country,c2.state,c2.foundation_year,c2.registration_date,c2.website,c2.rank,c2.market_cap_or_valuation,c2.number_of_employees,c2.ceo,c2.assets,c2.profit_or_net_income,c2.revenue,c2.share_price,c2.change_1_day,c2.change_1_year,c2.debts,c2.phone,c2.notes_or_description,similarity_score,is_match
,primetals technologies,industrial machinery,,,,private,,,unknown,,,2015 (8 yrs old),,,,,,,,,,,,,,,,,pride technologies,recruitment,,,,private,,,unknown,,,1982 (41 yrs old),,,,,,,,,,,,,,,,85.0,False
4529,ambienta societa' di gestione del risparmio,,,,,,piazza fontana 6,20122,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/ambienta-societa-di-gestione-del-risparmio-spa.itd5lobxb.html,,,,,,,,,,,,,headquarter,2231,amundi societa' di gestione del risparmio,,,,,,via cernaia 8/10,20121,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/amundi-societa-di-gestione-del-risparmio-spa.itd5li0pg.html,,,,,,,,,,,,,,90.47619047619048,False
3201,aviva international,,,,,,st helens 1 undershaft,ec3p 3dq,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/aviva-international-holdings-limited.gbd6klfvb.html,,,,,,,,,,,,,headquarter,3085,capital international,,,,,,40 grosvenor place,sw1x 7gg,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/capital-international-inc.gbd3n00yd.html,,,,,,,,,,,,,single address,85.0,False
2674,international power,,,,,,"second floor salisbury house, london wall",ec2m 5sq,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/international-power-ltd.gbd3wm85c.html,,,,,,,,,,,,,headquarter,4597,wework international,,,,,,3rd floor 207 regent street,w1b 3hh,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/wework-international-limited.gbd3n8ylk.html,,,,,,,,,,,,,headquarter,87.17948717948718,False
3201,aviva international,,,,,,st helens 1 undershaft,ec3p 3dq,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/aviva-international-holdings-limited.gbd6klfvb.html,,,,,,,,,,,,,headquarter,417,bravado international,,,,,,4 pancras square,n1c 4ag,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/bravado-international-group-limited.gbd5q3qt3.html,,,,,,,,,,,,,,85.0,False
226,eni plenitude societa' benefit,,,,,,piazza ezio vanoni 1,20097,san donato milanese,italy,italy,,,https://www.info-clipper.com/en/company/italy/eni-plenitude-spa-societa-benefit.itd73ir0z.html,,,,,,,,,,,,,headquarter,4193,eni plenitude societa\' benefit,,,,,,piazza ezio vanoni 1,20097,san donato milanese,italy,italy,,,https://www.info-clipper.com/en/company/italy/eni-plenitude-spa-societa-benefit.itd73ir0z.html,,,,,,,,,,,,,headquarter,98.36065573770492,True
,atal,,,,,,,,unknown,,,,,https://disfold.com/company/atal-sa/,,€335.9 million,300,not found,,,,,,,,,,,atala,consumer goods,recreational products,,,,,,unknown,,,1921,,,,,,,,,,,,,,,bicycles,88.88888888888889,False
,fantas,property,,,,,,,unknown,japan,,2010,,https://fantas-tech.co.jp/,,,114,,,,148.82,,,,,,,,fantasia,construction,,,,,"building a, funian plaza, shihua road and bauhinia road interchang, futian free trade zone, shenzhen, guangdong, 518048",,unknown,,,,,www.cnfantasia.com,,$147.4m,"34,118",,,,$3.2b,,,,,86 755 83451777,,85.71428571428572,False
,fantas,property,,,,,,,unknown,japan,,2010,,https://fantas-tech.co.jp/,,,114,,,,148.82,,,,,,,,fanta,carbonated soft drink,,,,,,,unknown,,,,,,516,,,,,,,,,,,,,90.9090909090909,False
1961,abrdn investment management,,,,,,investment house 1 george street,eh2 2ll,edinburgh,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/abrdn-investment-management-limited.gbd8cpa6i.html,,,,,,,,,,,,,headquarter,4534,green investment management,,,,,,50 lothian road festival square,eh3 9wj,edinburgh,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/green-investment-group-management-limited.gbd3ms4mm.html,,,,,,,,,,,,,headquarter,88.88888888888889,False
2024,red bull powertrains,,,,,,"building 8 bradbourne drive, tilbrook",mk7 8be,milton keynes,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/red-bull-powertrains-limited.gbd3rkfy5.html,,,,,,,,,,,,,single address,2027,red bull powertrains 2026,,,,,,"building 8 11 bradbourne drive, tilbrook",mk7 8at,milton keynes,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/red-bull-powertrains-2026-limited.gbd3sbk2y.html,,,,,,,,,,,,,single address,88.88888888888889,True
2231,amundi societa' di gestione del risparmio,,,,,,via cernaia 8/10,20121,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/amundi-societa-di-gestione-del-risparmio-spa.itd5li0pg.html,,,,,,,,,,,,,,3152,azimut societa' di gestione del risparmio,,,,,,via cusani 4,20121,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/azimut-societa-di-gestione-del-risparmio-spa.itd78q0d0.html,,,,,,,,,,,,,single address,92.6829268292683,False
07184149,good careers,,,,active,private limited company,"friars lodge high street, dunwich, saxmundham, england, ip17 3dn",,unknown,,,10 march 2010,,,,,,,,,,,,,,,78300 - human resources provision and management of human resources functions,14585808,good cars,,,,active,private limited company,"124 city road, london, united kingdom, ec1v 2nx",,unknown,,,11 january 2023,,,,,,,,,,,,,,,45112 - sale of used cars and light motor vehicles,85.71428571428572,False
08fa8d720b3f474e87abf4f6a026a341,sangoma technologies,,,['Telecommunication'],,,,,unknown,canada,,,,,6622,$95.48 m,,,,,,$4.32,-1.37%,-73.51%,,,,,sandhar technologies,auto components,,,,public,,,unknown,,,1987 (36 yrs old),,,,,,,,,,,,,,,,85.0,False
3121,gcube underwriting,,,,,,155 fenchurch street,ec3m 6al,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/gcube-underwriting-limited.gbde5p12q.html,,,,,,,,,,,,,,2509,qbe underwriting,,,,,,plantation place 30 fenchurch street,ec3m 3bd,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/qbe-underwriting-limited.gbd4sy0rd.html,,,,,,,,,,,,,headquarter,88.23529411764706,False
24c676576dbc4d128d693aa610eaafe0,chr. hansen a/s,,,"['Basic Materials', 'Chemicals', 'Biotechnology']",,,,,unknown,denmark,,,,https://www.chr-hansen.com/en,"1,815",,"3,700",,"3,432 million usd",931 million usd,"1,187 million usd",,,,"1,640 million usd",,,,chr hansen a-s,,,,,,,,unknown,,,,,https://disfold.com/company/chr-hansen-holding-a-s/,,kr.64.63 billion,"3,702",mr. mauricio graber,,,,,,,,,,89.65517241379311,True
,digi.com bhd,technology and communications,,,,,"lot 10, jalan delima 1/1, subang hi-tech industrial park, shah alam, selangor, 40000",,unknown,,,,,www.digi.com.my,,$11.3b,"1,400",,,,$1.5b,,,,,60 3 57211800,,1712dacd51184670b306fbf6fa86a908,digi.com berhad,,,"['Communication Services', 'Telecom', 'Internet Providers', 'Mobile Services', 'Fixed Line Service']",,,,,unknown,malaysia,,,,https://www.digi.com.my/,"2,416",,,,"1,851 million usd",274 million usd,"1,496 million usd",,,,"1,702 million usd",,,88.88888888888889,True
2644,eisler capital (hc),,,,,,16 st james's street,sw1a 1er,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/eisler-capital-ltd.gbd3pbe8i.html,,,,,,,,,,,,,single address,2641,eisler capital (ts),,,,,,16 st james's street,sw1a 1er,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/eisler-capital-ltd.gbd3p6lk7.html,,,,,,,,,,,,,single address,89.47368421052632,True
3070,imperial tobacco overseas,,,,,,121 winterstoke road,bs3 2ll,bristol,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/imperial-tobacco-overseas-limited.gbd3ihc5v.html,,,,,,,,,,,,,headquarter,3076,imperial tobacco overseas (2),,,,,,121 winterstoke road,bs3 2ll,bristol,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/imperial-tobacco-overseas-holdings-limited.gbd70a4uu.html,,,,,,,,,,,,,headquarter,92.5925925925926,True
08167612,all about caring,,,,active,private limited company,"unit 1 howard buildings, burpham lane, guildford, surrey, gu4 7nb",,unknown,,,3 august 2012,,,,,,,,,,,,,,,88100 - social work activities without accommodation for the elderly and disabled,07390391,all about cars,,,,active,private limited company,"all about cars limited, station road, rowley regis, west midlands, england, b65 0ld",,unknown,,,28 september 2010,,,,,,,,,,,,,,,45200 - maintenance and repair of motor vehicles,86.66666666666667,False
2896,venrex abc i general partner,,,,,,first floor office st james house,w8 5hd,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/venrex-abc-i-general-partner-limited.gbd3pjlw2.html,,,,,,,,,,,,,single address,2890,venrex ix general partner,,,,,,first floor office st james house,w8 5hd,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/venrex-ix-general-partner-limited.gbd3psf3r.html,,,,,,,,,,,,,single address,90.56603773584906,False
668,cegid italia,,,,,,viale edoardo jenner 73,20159,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/cegid-italia-srl.itd8jlxfu.html,,,,,,,,,,,,,single address,1340,cgi italia,,,,,,piazza filippo meda 3,20121,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/cgi-italia-srl.itd9bk6km.html,,,,,,,,,,,,,headquarter,90.9090909090909,False
,bank leumi le- israel b.m,,,,,,,,unknown,,,,,https://disfold.com/company/bank-leumi-le-israel-bm/,,₪484.3 million,not found,mr. hanan friedman,,,,,,,,,,366921212f5548ae936648f8a3da5ee6,bank leumi le- israel,,,"['Financial Services', 'Banking Services']",,,,,unknown,israel,,,,https://english.leumi.co.il/,"1,275",,"8,816",hanan friedman,"201,100 million usd","1,847 million usd","4,746 million usd",,,,"188,220 million usd",,,91.30434782608695,True
334,swisslog healthcare,,,,,,via degli artigiani 12,12100,cuneo,italy,italy,,,https://www.info-clipper.com/en/company/italy/swisslog-healthcare-ag.itd7aqeqq.html,,,,,,,,,,,,,headquarter,330,swisslog healthcare italy,,,,,,via degli artigiani 12,12100,cuneo,italy,italy,,,https://www.info-clipper.com/en/company/italy/swisslog-healthcare-italy-srl.itd75n3ww.html,,,,,,,,,,,,,headquarter,86.36363636363636,True
3591,sony interactive entertainment europe,,,,,,10 great marlborough street,w1f 7lp,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/sony-interactive-entertainment-europe-limited.gbd69ndu9.html,,,,,,,,,,,,,headquarter,3124,sony interactive entertainment network europe,,,,,,10 great marlborough street,w1f 7lp,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/sony-interactive-entertainment-network-europe-limited.gbdb45wfk.html,,,,,,,,,,,,,single address,90.2439024390244,True
2658,amazon.com.ca,,,,,,410 terry ave n,981095210,seattle,united states,washington(wa),,,https://www.info-clipper.com/en/company/united-states/amazoncomca-inc.usd1rhgpi.html,,,,,,,,,,,,,single address,2901,amazon.com.indc,,,,,,440 terry ave n,981095210,seattle,united states,washington(wa),,,https://www.info-clipper.com/en/company/united-states/amazoncomindc-llc.usd1avyu2.html,,,,,,,,,,,,,single address,86.95652173913044,True
61,garnet uk 23 new,,,,,,"2nd floor kingsbourne house, 229-231 high holborn",wc1v 7da,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-23-new-limited.gbd3qstzt.html,,,,,,,,,,,,,single address,53,garnet uk 7 new,,,,,,"2nd floor kingsbourne house, 229-231 high holborn",wc1v 7da,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/garnet-uk-7-new-limited.gbd3qnj0a.html,,,,,,,,,,,,,single address,90.32258064516128,True
09763209,all about travel,,,,active,private limited company,"2 marigold close, evesham, worcestershire, england, wr11 3ew",,unknown,,,4 september 2015,,,,,,,,,,,,,,,79110 - travel agency activities,09100043,all about reel,,,,active,private limited company,"20-22 wenlock road, london, england, n1 7gu",,unknown,,,24 june 2014,,,,,,,,,,,,,,,59112 - video production activities,86.66666666666667,False
4529,ambienta societa' di gestione del risparmio,,,,,,piazza fontana 6,20122,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/ambienta-societa-di-gestione-del-risparmio-spa.itd5lobxb.html,,,,,,,,,,,,,headquarter,656,castello societa' di gestione del risparmio,,,,,,via giacomo puccini 3,20121,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/castello-societa-di-gestione-del-risparmio-spa.itd5lfkq3.html,,,,,,,,,,,,,,86.04651162790698,False
2231,amundi societa' di gestione del risparmio,,,,,,via cernaia 8/10,20121,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/amundi-societa-di-gestione-del-risparmio-spa.itd5li0pg.html,,,,,,,,,,,,,,656,castello societa' di gestione del risparmio,,,,,,via giacomo puccini 3,20121,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/castello-societa-di-gestione-del-risparmio-spa.itd5lfkq3.html,,,,,,,,,,,,,,85.71428571428572,False
673,bridgepoint advisers,,,,,,5 marble arch,w1h 7ej,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/bridgepoint-advisers-group-limited.gbd3y893w.html,,,,,,,,,,,,,headquarter,3965,bridgepoint advisers europe,,,,,,5 marble arch,w1h 7ej,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/bridgepoint-advisers-europe-limited.gbd3ksljs.html,,,,,,,,,,,,,headquarter,85.1063829787234,True
3152,azimut societa' di gestione del risparmio,,,,,,via cusani 4,20121,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/azimut-societa-di-gestione-del-risparmio-spa.itd78q0d0.html,,,,,,,,,,,,,single address,656,castello societa' di gestione del risparmio,,,,,,via giacomo puccini 3,20121,milano,italy,italy,,,https://www.info-clipper.com/en/company/italy/castello-societa-di-gestione-del-risparmio-spa.itd5lfkq3.html,,,,,,,,,,,,,,88.09523809523809,False
2953,morgan stanley bank international,,,,,,25 cabot square,e14 4qw,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/morgan-stanley-bank-international-limited.gbd3x9nj1.html,,,,,,,,,,,,,headquarter,1979,morgan stanley international,,,,,,25 cabot square,e14 4qa,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/morgan-stanley-co-international-plc.gbd4xt3x4.html,,,,,,,,,,,,,headquarter,91.8032786885246,True
988,quilter international,,,,,,king edward bay house king edward road onchan,im99 1nu,isle of man,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/quilter-international-holdings-limited.gbd3td344.html,,,,,,,,,,,,,headquarter,441,telor international,,,,,,"1st floor jubilee bldgs victoria st, douglas",im1 2sh,isle of man,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/telor-international-limited.gbd618f0f.html,,,,,,,,,,,,,headquarter,85.0,False
2641,eisler capital (ts),,,,,,16 st james's street,sw1a 1er,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/eisler-capital-ltd.gbd3p6lk7.html,,,,,,,,,,,,,single address,2638,eisler capital (uk),,,,,,16 st. james's street,sw1a 1er,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/eisler-capital-ltd.gbd3nigur.html,,,,,,,,,,,,,headquarter,89.47368421052632,True
2266,thomas international,,,,,,18 oxford road,sl7 2nl,marlow,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/thomas-international-limited.gbd4sambj.html,,,,,,,,,,,,,single address,2263,thomas international uk,,,,,,18 oxford road,sl7 2ls,marlow,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/thomas-international-uk-limited.gbd8d2xe3.html,,,,,,,,,,,,,headquarter,93.02325581395348,True
4539,infopro digital,,,,,,80 pine st,100051742,new york,united states,new york(ny),,,https://www.info-clipper.com/en/company/united-states/infopro-digital-inc.usdg1gakq.html,,,,,,,,,,,,,single address,2559,infopro digital usa,,,,,,55 broad st,100042511,new york,united states,new york(ny),,,https://www.info-clipper.com/en/company/united-states/infopro-digital-usa-llc.usd1b6j8d.html,,,,,,,,,,,,,headquarter,88.23529411764706,True
,luciad,technology,computer services,,,,,,unknown,,,1999,,,,,,,,,,,,,,,geographic information systems (gis),7322fe2d0245400487351268b8d5d232,lucid,,,"['Consumer Cyclical', 'Electric Vehicles', 'Batteries', 'Automobile']",,,,,unknown,united states,california,,,https://www.lucidmotors.com/,252,,"2,000",,"7,881 million usd","-4,747 million usd",27 million usd,,,,"3,972 million usd",,,90.9090909090909,False
192,palantir technologies,,,,,,1200 17th s fl 15,802025835,denver,united states,colorado(co),,,https://www.info-clipper.com/en/company/united-states/palantir-technologies-inc.usd5zlq14.html,,,,,,,,,,,,,headquarter,212,palantir technologies canada,,,,,,1555 blake st ste 250,802021866,denver,united states,colorado(co),,,https://www.info-clipper.com/en/company/united-states/palantir-technologies-canada-inc.usd1ygym4.html,,,,,,,,,,,,,single address,85.71428571428572,True
,sbi cards payment,fintech,,,,government,,,unknown,,,1998 (25 yrs old),,,,,,,,,,,,,,,,d0a7e6cbfe7b4c73a1e92bc01b32f851,sbi cards and payment,,,financial services,,,,,unknown,india,,,,https://www.sbicard.com/,"1,644",,,,"4,337 million usd",202 million usd,"1,081 million usd",,,,"3,367 million usd",,,89.47368421052632,True
2664,amazon.com.dedc,,,,,,410 terry ave n,981095210,seattle,united states,washington(wa),,,https://www.info-clipper.com/en/company/united-states/amazoncomdedc-llc.usd24sop0.html,,,,,,,,,,,,,single address,2901,amazon.com.indc,,,,,,440 terry ave n,981095210,seattle,united states,washington(wa),,,https://www.info-clipper.com/en/company/united-states/amazoncomindc-llc.usd1avyu2.html,,,,,,,,,,,,,single address,86.66666666666667,True
640,bnp paribas,,,,,,10 harewood avenue,nw1 6aa,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/bnp-paribas.gbd3ujdfa.html,,,,,,,,,,,,,single address,3420,bnp paribas uk,,,,,,10 hareward avenue,nw1 6aa,london,united kingdom,united kingdom,,,https://www.info-clipper.com/en/company/united-kingdom/bnp-paribas-uk-limited.gbd3rckjh.html,,,,,,,,,,,,,single address,88.0,True
14399390,all about weddings,,,,active,private limited company,"103a high street, lees, oldham, united kingdom, ol4 4ly",,unknown,,,5 october 2022,,,,,,,,,,,,,,,82301 - activities of exhibition and fair organisers,07236648,all about vending,,,,active,private limited company,"west gate lodge, cams hall estate, fareham, hampshire, po16 8up",,unknown,,,27 april 2010,,,,,,,,,,,,,,,99999 - dormant company,85.71428571428572,False
2658,amazon.com.ca,,,,,,410 terry ave n,981095210,seattle,united states,washington(wa),,,https://www.info-clipper.com/en/company/united-states/amazoncomca-inc.usd1rhgpi.html,,,,,,,,,,,,,single address,2664,amazon.com.dedc,,,,,,410 terry ave n,981095210,seattle,united states,washington(wa),,,https://www.info-clipper.com/en/company/united-states/amazoncomdedc-llc.usd24sop0.html,,,,,,,,,,,,,single address,85.71428571428572,True
