Claim 0: |{|Task, Ablation study on RPP+|, |Method, Manual prompts|, |Dataset, ML-1M|}, N@1, 0.03|
Claim 46: |{|Task, Ablation study on RPP+|, |Method, Output format+|, |Dataset, ML-1M|}, N@5, 0.40|
Claim 47: |{|Task, Ablation study on RPP+|, |Method, Output format+|, |Dataset, ML-1M|}, N@10, 0.44|
Claim 48: |{|Task, Ablation study on RPP+|, |Method, Output format+|, |Dataset, Games|}, N@1, 0.74|
Claim 49: |{|Task, Ablation study on RPP+|, |Method, Output format+|, |Dataset, Games|}, N@5, 0.79|
Claim 50: |{|Task, Ablation study on RPP+|, |Method, Output format+|, |Dataset, Games|}, N@10, 0.86|
Claim 51: |{|Task, Ablation study on RPP+|, |Method, Output format+|, |Dataset, Lastfm|}, N@1, 0.79|
Claim 52: |{|Task, Ablation study on RPP+|, |Method, Output format+|, |Dataset, Lastfm|}, N@5, 0.81|
Claim 53: |{|Task, Ablation study on RPP+|, |Method, Output format+|, |Dataset, Lastfm|}, N@10, 0.89|
Claim 54: |{|Task, Ablation study on RPP+|, |Method, RPP+|, |Dataset, ML-1M|}, N@1, 0.74|
Claim 55: |{|Task, Ablation study on RPP+|, |Method, RPP+|, |Dataset, ML-1M|}, N@5, 0.78|
Claim 56: |{|Task, Ablation study on RPP+|, |Method, RPP+|, |Dataset, ML-1M|}, N@10, 0.83|
Claim 57: |{|Task, Ablation study on RPP+|, |Method, RPP+|, |Dataset, Games|}, N@1, 0.84|
Claim 58: |{|Task, Ablation study on RPP+|, |Method, RPP+|, |Dataset, Games|}, N@5, 0.87|
Claim 59: |{|Task, Ablation study on RPP+|, |Method, RPP+|, |Dataset, Games|}, N@10, 0.91|
Claim 60: |{|Task, Ablation study on RPP+|, |Method, RPP+|, |Dataset, Lastfm|}, N@1, 0.93|
Claim 61: |{|Task, Ablation study on RPP+|, |Method, RPP+|, |Dataset, Lastfm|}, N@5, 0.94|
Claim 62: |{|Task, Ablation study on RPP+|, |Method, RPP+|, |Dataset, Lastfm|}, N@10, 0.95|
