Claim 0: |{|Model, GPT-3.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, ASR, 7.44|
Claim 31: |{|Model, mistral-7b-v0.2|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 6.58|
Claim 32: |{|Model, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 6.76|
Claim 33: |{|Model, vicuna-13b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 3.0|
Claim 34: |{|Model, vicuna-33b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 5.34|
Claim 35: |{|Model, vicuna-7b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 13.12|
Claim 36: |{|Model, GPT-3.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 17.16|
Claim 37: |{|Model, LLaMA-2-13b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 40.26|
Claim 38: |{|Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 37.32|
Claim 39: |{|Model, LLaMA-2-7b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 3.98|
Claim 40: |{|Model, mistral-7b-v0.2|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 0.36|
Claim 41: |{|Model, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 0.6|
Claim 42: |{|Model, vicuna-13b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 2.22|
Claim 43: |{|Model, vicuna-33b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 0.32|
Claim 44: |{|Model, vicuna-7b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 0.44|
Claim 45: |{|Model, GPT-3.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 2.88|
Claim 46: |{|Model, LLaMA-2-13b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 0.3|
Claim 47: |{|Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 0.38|
Claim 48: |{|Model, LLaMA-2-7b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 2.4|
Claim 49: |{|Model, mistral-7b-v0.2|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 0.72|
Claim 50: |{|Model, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 1.64|
Claim 51: |{|Model, vicuna-13b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 37.84|
Claim 52: |{|Model, vicuna-33b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 5.18|
Claim 53: |{|Model, vicuna-7b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, FPR, 2.4|
Claim 54: |{|Model, GPT-3.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 94.72|
Claim 55: |{|Model, LLaMA-2-13b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 95.67|
Claim 56: |{|Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 95.4|
Claim 57: |{|Model, LLaMA-2-7b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 90.71|
Claim 58: |{|Model, mistral-7b-v0.2|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 92.81|
Claim 59: |{|Model, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 92.91|
Claim 60: |{|Model, vicuna-13b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 94.56|
Claim 61: |{|Model, vicuna-33b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 93.09|
Claim 62: |{|Model, vicuna-7b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 88.86|
Claim 63: |{|Model, GPT-3.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 84.6|
Claim 64: |{|Model, LLaMA-2-13b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 70.06|
Claim 65: |{|Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 72.27|
Claim 66: |{|Model, LLaMA-2-7b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 93.68|
Claim 67: |{|Model, mistral-7b-v0.2|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 93.58|
Claim 68: |{|Model, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 93.17|
Claim 69: |{|Model, vicuna-13b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 95.15|
Claim 70: |{|Model, vicuna-33b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 95.83|
Claim 71: |{|Model, vicuna-7b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 96.1|
Claim 72: |{|Model, GPT-3.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 90.63|
Claim 73: |{|Model, LLaMA-2-13b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 92.29|
Claim 74: |{|Model, LLaMA-2-70b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 92.39|
Claim 75: |{|Model, LLaMA-2-7b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 90.33|
Claim 76: |{|Model, mistral-7b-v0.2|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 91.44|
Claim 77: |{|Model, mixtral-8x7b-v0.1|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 92.2|
Claim 78: |{|Model, vicuna-13b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 69.04|
Claim 79: |{|Model, vicuna-33b|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 91.17|
Claim 80: |{|Model, vicuna-7b-v1.5|, |Dataset, DAN|, |Task, Defense Against Harmful Requests|}, Accuracy, 92.01|
