ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
105,Hotels,55101 (EMTAK 2008),55.10,Annual report\n                                    (27.07.2022)\n                                    
106,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (15.06.2022)\n                                    
108,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission\n                                    (17.10.2018)\n                                    
111,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report\n                                    (28.06.2022)\n                                    
112,Other real estate management or related activities,68329 (EMTAK 2008),68.32,Annual report\n                                    (02.05.2021)\n                                    
113,Photographic activities,74201 (EMTAK 2008),74.20,Annual report\n                                    (26.09.2022)\n                                    
114,Activities of holding companies,64201 (EMTAK 2008),64.20,Recoding\n                                    (01.01.2008)\n                                    
115,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.20,Annual report\n                                    (02.06.2022)\n                                    
117,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (27.10.2014)\n                                    
118,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report\n                                    (04.10.2022)\n                                    
119,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report\n                                    (31.05.2022)\n                                    
123,Performing arts,9001 (EMTAK 2008),90.01,Annual report\n                                    (07.09.2021)\n                                    
124,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Annual report\n                                    (22.02.2022)\n                                    
125,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report\n                                    (06.04.2016)\n                                    
126,Car washing and other services,45202 (EMTAK 2008),45.20,Electronic submission\n                                    (06.04.2015)\n                                    
127,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report\n                                    (18.05.2022)\n                                    
129,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report\n                                    (14.10.2022)\n                                    
130,Manufacture of furniture parts,31092 (EMTAK 2008),31.09,Annual report\n                                    (02.11.2022)\n                                    
131,Electrical installation,4321 (EMTAK 2008),43.21,Annual report\n                                    (18.10.2022)\n                                    
132,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (11.11.2014)\n                                    
134,"Wholesale of other general-purpose and special-purpose machinery, apparatus and equipment",46699 (EMTAK 2008),46.69,Annual report\n                                    (30.06.2021)\n                                    
135,Retail trade of motor vehicle parts and accessories,45321 (EMTAK 2008),45.32,Electronic submission\n                                    (10.10.2021)\n                                    
136,Retail trade of motor vehicle parts and accessories,4532 (EMTAK 2008),45.32,Annual report\n                                    (26.10.2020)\n                                    
137,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.20,Annual report\n                                    (27.06.2022)\n                                    
139,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report\n                                    (16.06.2022)\n                                    
140,Sea ship loading services (freighting),52292 (EMTAK 2008),52.29,Annual report\n                                    (27.06.2022)\n                                    
143,"Manufacture of prefabricated wooden buildings (e.g. saunas, summerhouses, houses) or elements thereof",16232 (EMTAK 2008),16.23,Annual report\n                                    (15.06.2022)\n                                    
145,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (05.07.2021)\n                                    
146,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (29.06.2021)\n                                    
147,Activities of insurance agents and brokers,66221 (EMTAK 2008),66.22,Annual report\n                                    (09.04.2019)\n                                    
148,"Management of buildings and rental houses (apartment associations, housing associations, building associations etc)",68321 (EMTAK 2008),68.32,Annual report\n                                    (30.06.2022)\n                                    
149,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (23.03.2021)\n                                    
150,Wholesale of perfume and cosmetics,46451 (EMTAK 2008),46.45,Annual report\n                                    (01.07.2022)\n                                    
151,Wholesale of perfume and cosmetics,46451 (EMTAK 2008),46.45,Annual report\n                                    (24.11.2021)\n                                    
152,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission\n                                    (29.09.2021)\n                                    
155,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Electronic submission\n                                    (13.09.2021)\n                                    
156,Wholesale of wood and products for the first-stage processing of wood,46731 (EMTAK 2008),46.73,Annual report\n                                    (21.06.2019)\n                                    
157,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (16.08.2021)\n                                    
158,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",08111 (EMTAK 2008),08.11,Electronic submission\n                                    (12.07.2012)\n                                    
160,Advertising agencies,73111 (EMTAK 2008),73.11,Electronic submission\n                                    (26.10.2021)\n                                    
161,Motion picture and video production,59111 (EMTAK 2008),59.11,Electronic submission\n                                    (30.12.2020)\n                                    
162,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission\n                                    (04.02.2020)\n                                    
163,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report\n                                    (21.02.2019)\n                                    
164,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report\n                                    (17.08.2016)\n                                    
166,Removal services,49421 (EMTAK 2008),49.42,Annual report\n                                    (19.01.2022)\n                                    
167,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (30.06.2022)\n                                    
168,Other hobby education,85529 (EMTAK 2008),85.52,Annual report\n                                    (24.01.2022)\n                                    
169,Web portals,63121 (EMTAK 2008),63.12,Electronic submission\n                                    (07.03.2018)\n                                    
170,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (17.04.2019)\n                                    
171,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report\n                                    (11.03.2017)\n                                    
172,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (27.06.2022)\n                                    
173,Other publishing activities,58191 (EMTAK 2008),58.19,Annual report\n                                    (23.05.2022)\n                                    
174,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (30.05.2013)\n                                    
175,Other sports activities,9319 (EMTAK 2008),93.19,Electronic submission\n                                    (15.08.2016)\n                                    
176,Other service activities,96099 (EMTAK 2008),96.09,Annual report\n                                    (29.06.2022)\n                                    
177,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission\n                                    (08.10.2012)\n                                    
178,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report\n                                    (26.06.2022)\n                                    
179,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (29.01.2021)\n                                    
180,Retail sale of goods n.e.c.,47789 (EMTAK 2008),47.78,Annual report\n                                    (28.06.2010)\n                                    
181,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (30.06.2022)\n                                    
182,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Electronic submission\n                                    (18.08.2017)\n                                    
183,Wholesale trade of motor vehicle parts and accessories,45311 (EMTAK 2008),45.31,Annual report\n                                    (01.07.2022)\n                                    
184,Retail trade of motor vehicle parts and accessories,45321 (EMTAK 2008),45.32,Annual report\n                                    (30.06.2022)\n                                    
185,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (19.04.2022)\n                                    
186,Retail sale of souvenirs and craftwork articles in specialised stores,47783 (EMTAK 2008),47.78,Electronic submission\n                                    (05.02.2020)\n                                    
187,Fund management activities,66301 (EMTAK 2008),66.30,Electronic submission\n                                    (16.06.2021)\n                                    
188,Car washing and other services,45202 (EMTAK 2008),45.20,Electronic submission\n                                    (24.08.2017)\n                                    
190,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (08.06.2022)\n                                    
192,Other business support service activities n.e.c.,8299 (EMTAK 2008),82.99,Annual report\n                                    (30.06.2022)\n                                    
193,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (03.05.2022)\n                                    
194,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (17.11.2019)\n                                    
195,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission\n                                    (04.03.2020)\n                                    
197,Other service activities,96099 (EMTAK 2008),96.09,Electronic submission\n                                    (03.10.2022)\n                                    
198,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report\n                                    (20.06.2017)\n                                    
199,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (16.06.2021)\n                                    
200,Other food service activities,56291 (EMTAK 2008),56.29,Annual report\n                                    (25.05.2021)\n                                    
201,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission\n                                    (05.03.2019)\n                                    
202,Repair and maintenance of other transport equipment,33171 (EMTAK 2008),33.17,Annual report\n                                    (21.08.2012)\n                                    
203,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report\n                                    (11.07.2022)\n                                    
205,Other legal activities,69109 (EMTAK 2008),69.10,Annual report\n                                    (18.07.2022)\n                                    
206,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission\n                                    (02.12.2019)\n                                    
207,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Electronic submission\n                                    (12.10.2021)\n                                    
208,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission\n                                    (15.07.2022)\n                                    
209,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (29.10.2021)\n                                    
210,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (10.11.2019)\n                                    
211,Temporary employment agency activities,78201 (EMTAK 2008),78.20,Annual report\n                                    (06.10.2019)\n                                    
212,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Annual report\n                                    (22.02.2022)\n                                    
213,"Data processing, hosting and related activities",63111 (EMTAK 2008),63.11,Annual report\n                                    (25.09.2022)\n                                    
214,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (18.05.2018)\n                                    
215,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report\n                                    (24.04.2022)\n                                    
216,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (23.02.2021)\n                                    
217,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (19.10.2020)\n                                    
218,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report\n                                    (31.07.2021)\n                                    
221,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (22.10.2020)\n                                    
223,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report\n                                    (20.06.2022)\n                                    
224,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report\n                                    (08.05.2022)\n                                    
225,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission\n                                    (24.11.2022)\n                                    
226,Business and other management consultancy activities,7022 (EMTAK 2008),70.22,Annual report\n                                    (02.12.2020)\n                                    
227,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report\n                                    (29.06.2021)\n                                    
228,Retail sale via mail order houses or via Internet,4791 (EMTAK 2008),47.91,Annual report\n                                    (30.06.2022)\n                                    
232,Computer consultancy activities,62021 (EMTAK 2008),62.02,Electronic submission\n                                    (11.12.2020)\n                                    
233,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report\n                                    (14.09.2022)\n                                    
234,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report\n                                    (29.06.2022)\n                                    
235,Wholesale of other intermediate products,46761 (EMTAK 2008),46.76,Annual report\n                                    (30.06.2022)\n                                    
236,Freight transport by road,49411 (EMTAK 2008),49.41,Field of activity code data encoding by RIK\n                                    (07.05.2002)\n                                    
237,Pet care services,96091 (EMTAK 2008),96.09,Annual report\n                                    (04.04.2022)\n                                    
239,Other retail sale in non-specialised stores,47191 (EMTAK 2008),47.19,Annual report\n                                    (30.06.2017)\n                                    
242,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission\n                                    (12.10.2021)\n                                    
244,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission\n                                    (31.10.2022)\n                                    
245,Removal services,49421 (EMTAK 2008),49.42,Annual report\n                                    (27.04.2020)\n                                    
246,Computer consultancy activities,62021 (EMTAK 2008),62.02,Electronic submission\n                                    (09.09.2021)\n                                    
247,Agents involved in the sale of timber and building materials,46131 (EMTAK 2008),46.13,Annual report\n                                    (02.06.2022)\n                                    
248,Manufacture of fertilisers and nitrogen compounds,20151 (EMTAK 2008),20.15,Annual report\n                                    (01.10.2020)\n                                    
249,Wholesale of solid fuels,46711 (EMTAK 2008),46.71,Annual report\n                                    (27.06.2019)\n                                    
250,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report\n                                    (14.11.2022)\n                                    
251,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report\n                                    (27.06.2022)\n                                    
252,"Associations and social clubs related to recreational activities, entertainment, cultural activities or hobbies",94995 (EMTAK 2008),94.99,Annual report\n                                    (29.06.2022)\n                                    
253,Other earth and soil works,43129 (EMTAK 2008),43.12,Annual report\n                                    (30.10.2020)\n                                    
258,Activities of other membership organisations n.e.c.,9499 (EMTAK 2008),94.99,Annual report\n                                    (05.05.2022)\n                                    
262,Museums activities,91021 (EMTAK 2008),91.02,Annual report\n                                    (13.05.2022)\n                                    
263,Activities of other organisations not classified elsewhere,94999 (EMTAK 2008),94.99,Annual report\n                                    (30.06.2022)\n                                    
264,Activities of business and employers membership organisations,9411 (EMTAK 2008),94.11,Annual report\n                                    (30.06.2022)\n                                    
265,Raising of other animals,01499 (EMTAK 2008),01.49,Annual report\n                                    (13.11.2022)\n                                    
268,Environment and nature protection associations,94996 (EMTAK 2008),94.99,Annual report\n                                    (28.06.2022)\n                                    
270,Activities of other organisations not classified elsewhere,94999 (EMTAK 2008),94.99,Annual report\n                                    (30.08.2022)\n                                    
272,Activities of parties,94921 (EMTAK 2008),94.92,Annual report\n                                    (21.12.2021)\n                                    
274,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report\n                                    (10.03.2022)\n                                    
275,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (23.01.2018)\n                                    
281,Temporary employment agency activities,78201 (EMTAK 2008),78.20,Annual report\n                                    (22.04.2022)\n                                    
282,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Electronic submission\n                                    (04.06.2021)\n                                    
283,Wholesale of other machinery and equipment,4669 (EMTAK 2008),46.69,Annual report\n                                    (25.03.2022)\n                                    
285,Organisation of conventions and trade shows,82301 (EMTAK 2008),82.30,Annual report\n                                    (06.07.2022)\n                                    
286,Activities of holding companies,64201 (EMTAK 2008),64.20,Electronic submission\n                                    (05.08.2022)\n                                    
287,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission\n                                    (27.12.2021)\n                                    
288,Other healthcare activities not classified elsewhere,86909 (EMTAK 2008),86.90,Electronic submission\n                                    (19.11.2020)\n                                    
289,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Electronic submission\n                                    (04.11.2021)\n                                    
291,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report\n                                    (23.06.2022)\n                                    
292,Translation and interpretation activities,74301 (EMTAK 2008),74.30,Electronic submission\n                                    (10.07.2013)\n                                    
293,Mixed farming,01501 (EMTAK 2008),01.50,Field of activity code data encoding by RIK\n                                    (10.12.1998)\n                                    
295,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report\n                                    (21.06.2022)\n                                    
297,Manufacture of prefabricated metal buildings,25111 (EMTAK 2008),25.11,Annual report\n                                    (20.07.2022)\n                                    
298,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (27.06.2022)\n                                    
302,Manufacture of doors and windows of metal \xc2\xa0,25121 (EMTAK 2008),25.12,Annual report\n                                    (30.06.2022)\n                                    
303,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission\n                                    (01.07.2015)\n                                    
304,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report\n                                    (29.06.2022)\n                                    
305,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (30.06.2022)\n                                    
306,General cleaning of buildings,81211 (EMTAK 2008),81.21,Annual report\n                                    (30.06.2022)\n                                    
307,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report\n                                    (05.07.2022)\n                                    
308,Retail sale of other building material and goods in specialised stores,47529 (EMTAK 2008),47.52,Annual report\n                                    (28.06.2022)\n                                    
309,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report\n                                    (01.06.2022)\n                                    
310,"Wholesale of wood, construction materials and sanitary equipment",4673 (EMTAK 2008),46.73,Annual report\n                                    (12.07.2022)\n                                    
311,Retail sale of other building material and goods in specialised stores,47529 (EMTAK 2008),47.52,Annual report\n                                    (28.06.2022)\n                                    
312,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report\n                                    (22.08.2022)\n                                    
313,Repair of furniture and home furnishings,95241 (EMTAK 2008),95.24,Annual report\n                                    (22.06.2022)\n                                    
316,Language training,85591 (EMTAK 2008),85.59,Annual report\n                                    (29.11.2022)\n                                    
317,Language training,85591 (EMTAK 2008),85.59,Annual report\n                                    (30.06.2022)\n                                    
320,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report\n                                    (29.11.2022)\n                                    
321,Landscape service activities,81301 (EMTAK 2008),81.30,Annual report\n                                    (09.08.2022)\n                                    
323,Other building completion and finishing,43391 (EMTAK 2008),43.39,Annual report\n                                    (21.06.2022)\n                                    
326,Other transportation support activities,5229 (EMTAK 2008),52.29,Annual report\n                                    (29.06.2017)\n                                    
327,Wholesale of metals and metal ores,46721 (EMTAK 2008),46.72,Annual report\n                                    (07.12.2017)\n                                    
328,Language training,85591 (EMTAK 2008),85.59,Electronic submission\n                                    (28.01.2021)\n                                    
329,"Retail sale of computers, peripheral units and software in specialised stores",47411 (EMTAK 2008),47.41,Annual report\n                                    (12.07.2022)\n                                    
330,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.20,Electronic submission\n                                    (20.03.2018)\n                                    
331,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission\n                                    (15.04.2021)\n                                    
333,Rental and operating of own or leased real estate,6820 (EMTAK 2008),68.20,Annual report\n                                    (30.06.2022)\n                                    
335,"Wholesale of fish, crustaceans and fish products",46381 (EMTAK 2008),46.38,Annual report\n                                    (02.12.2008)\n                                    
336,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report\n                                    (22.06.2017)\n                                    
338,Culture centres and community centres,93291 (EMTAK 2008),93.29,Annual report\n                                    (29.06.2010)\n                                    
339,Hotels,55101 (EMTAK 2008),55.10,Annual report\n                                    (30.06.2022)\n                                    
340,"Retail sale via stalls and markets of food, beverages and tobacco products",47811 (EMTAK 2008),47.81,Annual report\n                                    (22.05.2020)\n                                    
341,Engineering activities and related technical consultancy,7112 (EMTAK 2008),71.12,Annual report\n                                    (24.06.2021)\n                                    
344,Electrical installation,4321 (EMTAK 2008),43.21,Annual report\n                                    (10.10.2022)\n                                    
345,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report\n                                    (27.06.2022)\n                                    
348,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report\n                                    (30.06.2021)\n                                    
349,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission\n                                    (20.06.2022)\n                                    
351,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report\n                                    (24.03.2022)\n                                    
352,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report\n                                    (07.07.2022)\n                                    
