"RANK","BRAND NAME","CATEGORY","MAIN MARKET","2010 RANK"
"63","FamilyMart","Convenience Store","Taiwan, Thailand","85"
"64","HSBC","Bank","Regional","81"
"65","Citibank","Bank","Regional","78"
"66","Christian Dior","Fragrance/Perfume/Cosmetics","Regional","67"
"67","Nissin","Instant Noodles","Regional","82"
"68","Huggies","Diaper","Regional","65"
"69","FedEx","Courier Company","Greater China, Southeast Asia","58"
"70","Acer","Computer","Regional","76"
"71","Pocari Sweat","Sports Drink","Regional","69"
"72","Kao","Detergent","Greater China, Southeast Asia","71"
"73","Ferrero Rocher","Chocolate","Regional","90"
"74","AIA","Insurance","Regional","88"
"75","Singapore","Full-service Airlines","Greater China, Southeast Asia","74"
"76","Lipton","Tea","Regional","40"
"77","Marlboro","Cigarette","Regional","59"
"78","MasterKong","Instant Noodles","Greater China","114"
"79","MasterCard","Credit Card","Regional","91"
"80","Gatorade","Sports Drink","Regional","68"
"81","Gucci","Luxury Fashion Retailer","Regional","64"
"82","Kellogg’s","Cereal","Regional","92"
"83","Heineken","Beer","Regional","95"
"84","Daikin","Air Conditioner","Japan, Singapore","94"
"85","Head & Shoulders","Shampoo","Regional","98"
"86","SK-II","Female Skincare Product","Regional","104"
"87","Wrigley’s Arrow","Chewing/Bubble Gum","Regional","83"
"88","Sanyo","Consumer Electronics","Regional","75"
"89","Amul","Milk powder/Milk/Ice-cream","India","73"
"90","Hyundai","Car/Automobile","Regional","100"
"91","Lancomé","Cosmetics/Fagrance/Female Skincare","Regional","122"
"92","Seiko","Watch","Regional","109"
"93","Wall’s","Ice-cream","Regional","121"
"94","Casio","Watch","Regional","111"
"95","Xbox","Gaming Console","Regional","131"
"96","Tesco","Supermarket","Malaysia, Thailand","126"
"97","NTUC FairPrice","Supermarket","Singapore","89"
"98","Whirlpool","White Goods","Regional","107"
"99","Olay","Female Skincare Product","Regional","106"
"100","HTC","Mobile Phone","Regional","532"
"101","Evian","Mineral Water","Regional","105"
"102","Haier","Consumer Electronics","China, India","108"
"103","Sunsilk","Shampoo","Regional","115"
"104","Hilton","Hotel","Regional","125"
"105","Cathay Pacific","Full-service Airlines","Regional","93"
"106","Heinz","Baby Food (excluding milk powder)","Regional","79"
"107","Sony Ericsson","Mobile Phone","Regional","72"
"108","100 Plus","Sports Drink","Southeast Asia, India","120"
"109","Morinaga","Sweets and Candy","China, Japan","87"
"110","Breeze","Detergent","Southeast Asia, Taiwan","155"
"111","Caltex","Petrol/Gas Station","Regional","124"
"112","Vodafone","Mobile Service Provider","Regional","165"
"113","Esso","Petrol/Gas Station","China, Japan, Southeast Asia","153"
"114","Johnson & Johnson","Personal Care","Regional","86"
"115","Calvin Klein","Fragrance/Perfume/Luxury Fashion Retailer","Regional","101"
"116","Kingfisher","Beer/Full-service Airlines","India","140"
"117","Fujitsu","Computer","Regional","134"
"118","Guardian","Pharmacy/Drugstore","Australia, Southeast Asia","84"
"119","Suzuki","Motorcycle","Regional","102"
"120","Baskin Robbins","Ice-cream","Regional","173"
"121","Lenovo","Computer","Regional","170"
"122","Omega","Watch","Regional","132"
"123","Louis Vuitton (LV)","Luxury Fashion Retailer","Regional","118"
"124","Wellcome","Supermarket","Hong Kong, Taiwan","146"
"125","Coles","Supermarket","Australia","127"
"126","Armani","Men’s Fashion Retailer","Regional","117"
"127","Lee Kum Kee","Sauce/Condiment","China, Southeast Asia","194"
"128","Johnnie Walker","Spirits","Regional","133"
"129","Reebok","Sporting Apparel","Regional","188"
"130","Lay’s","Snack Food","Regional","147"
"131","Marigold","Fruit Juice","Malaysia, Singapore","129"
"132","Circle K","Convenience Store","China, Japan","185"
"133","Harley Davidson","Motorcycle","Regional","143"
"134","Goodyear","Tyre","Regional","138"
"135","Quaker","Cereal","Malaysia, Singapore","97"
"136","Carlsberg","Beer","Regional","130"
"137","Puma","Sporting Equipment/Apparel","Regional","167"
"138","Jetstar","Budget Airlines","Australia, Southeast Asia","137"
"139","Thai Airways","Full-service Airlines","Regional","151"
"140","Asus","Computer","Regional","199"
"141","JVC","Camcorder","Regional","116"
"142","Prudential (UK)","Insurance","Regional","161"
"143","Maxims","Coffee","Hong Kong, Japan, Korea","190"
"144","Lion","Toothpaste","Regional","181"
"145","BlackBerry","Mobile Phone","Regional","446"
"146","Olympus","Camera","Regional","174"
"147","Extra","Chewing/Bubble Gum","Regional","176"
"148","Suntory","Spirits/Beer","China, Japan, Korea, Taiwan","227"
"149","Garnier","Skincare Product","Australia, India, Southeast Asia","195"
"150","Rejoice","Shampoo","Regional","148"
"151","Virgin","Full-service Airlines","Regional","168"
"152","Doublemint","Chewing/Bubble Gum","Regional","184"
"153","Palmolive","Shower Gel/Soap","Regional","152"
"154","IBM","Computer","Regional","150"
"155","Mamy Poko","Diaper","China, Japan, Southeast Asia","142"
"156","Dettol","Shower Gel/Soap","Australia, China","198"
"157","Estée Lauder","Cosmetics","Regional","145"
"158","Clinique","Female Skincare Product/Cosmetics","Regional","113"
"159","Mengniu","Milk","China","206"
"160","Lindt","Chocolate","Regional","259"
"161","Hershey’s","Chocolate","Regional","268"
"162","Cartier","Jewellery","Regional","169"
"163","Malaysia Airlines","Full-service Airlines","Regional","164"
"164","Tropicana","Fruit Juice","Regional","204"
"165","Baidu","Internet Search Engine","China","186"
"166","Pond’s","Female Skincare Product","Regional","228"
"167","Dutch Lady","Milk","Regional","159"
"168","Bank of China","Bank","China, Hong Kong","254"
"169","BATA","Shoes","India, Singapore","157"
"170","Carrefour","Supermarket","China, Japan, Southeast Asia","141"
"171","Tsingtao","Beer","China, Singapore","158"
"172","Maybank","Bank","Malaysia, Singapore","207"
"173","Kirin","Beer","China, Japan, Korea","189"
"174","Kookmin Bank (KB)","Bank","Korea","212"
"175","Dunlop","Tyre","Regional","149"
"176","Red Bull","Sports Drink","Regional","192"
"177","UPS","Courier Company","Regional","200"
"178","Tiger Airways","Budget Airlines","Regional","154"
"179","Swensen’s","Ice-cream","Singapore","253"
"180","Pedigree","Pet Food","Regional","110"
"181","Naver","Internet Search Engine","Korea","103"
"182","Wei Chuan","Food and Beverage","China, Taiwan","163"
"183","China Mobile","Mobile Service Provider","China","203"
"184","Big Bazaar","Supermarket","India","248"
"185","Dove (Chocolate)","Chocolate","China, Taiwan","201"
"186","Mama","Instant Noodles","Hong Kong, Thailand","211"
"187","CPC (Taiwan)","Petrol/Gas Station","Taiwan","215"
"188","Bing","Internet Search Engine","Regional","591"
"189","Standard Chartered","Bank","Hong Kong, Southeast Asia","336"
"190","Siemens","Consumer Electronics","Regional","234"
"191","ANA","Full-service Airlines","Regional","219"
"192","Tiffany & Co.","Jewellery","Regional","144"
"193","Minute Maid","Fruit Juice","China","265"
"194","Burger King","Fast-Food","Regional","222"
"195","Tiger Beer","Beer","Southeast Asia","183"
"196","Singtel","Mobile Service Provider","Singapore","244"
"197","Korean Air","Full-service Airlines","Korea","171"
"198","NTT","Mobile Service Provider","Japan","250"
"199","Qantas","Full-service Airlines","Regional","210"
"200","Nongshim","Instant Noodles","China, Korea","236"
"201","Ralph Lauren","Men’s Fashion Retailer/Fragrance","Regional","177"
"202","Siam Commercial Bank","Bank","Thailand","230"
"203","Asiana","Full-service Airlines","Korea","197"
"204","Park n shop","Supermarket","China, Hong Kong","231"
"205","Seoul Milk","Milk","Korea","179"
"206","G2000","Men’s and Women’s Fashion Retailer","China, Southeast Asia","208"
"207","SK Telecom","Mobile Service Provider","Korea","225"
"208","Dunhill","Cigarette","Regional","139"
"209","Adobe","Computer Software","Regional","269"
"210","Shinhan bank","Bank","Korea","242"
"211","Lotteria","Fast-Food","Korea","275"
"212","Kuroneko Yamato","Courier Company","Japan","251"
"213","DBS","Bank","Singapore","271"
"214","Pioneer","Consumer Electronics","Regional","162"
"215","ICICI Bank","Bank","India","182"
"216","State Bank of India (SBI)","Bank","India","226"
"217","Telstra","Mobile Service Provider","Australia","345"
"218","Citizen","Watch","Regional","223"
"219","Dumex","Milk Powder","China, India, Southeast Asia","180"
"220","Avon","Cosmetics","Regional","119"
"221","Airtel","Mobile Service Provider","India","301"
"222","Sinopec","Petrol/Gas Station","China, Hong Kong","214"
"223","Asahi","Beer","Regional","375"
"224","PTT","Petrol/Gas Station","Thailand","261"
"225","Coffee Bean","Coffee Shop","Australia, Southeast Asia","217"
"226","Mos Burger","Fast-Food","Japan, Hong Kong, Singapore","300"
"227","China Airlines","Full-service Airlines","Regional","175"
"228","NEC","Computer","Regional","263"
"229","Sunkist","Fruit Juice","Regional","316"
"230","KTF","Mobile Service Provider","Korea","294"
"231","Japan Airlines (JAL)","Full-service Airlines","Japan","196"
"232","China Trust","Bank","Taiwan","427"
"233","Woolworths","Supermarket","Australia","235"
"234","Sprite","Carbonated Soft Drink","Regional","283"
"235","Shangri-La","Hotel","Regional","202"
"236","Yili","Milk","China, Hong Kong","216"
"237","Electrolux","White Goods","Regional","367"
"238","F&N","Carbonated Soft Drink","Malaysia, Singapore","246"
"239","Chunghwa Telecom (CHT)","Mobile Service Provider","Taiwan","172"
"240","ICBC Asia","Bank","China","332"
"241","Tag Heuer","Watch","Regional","321"
"242","China Merchants Bank","Credit Card/Bank","China","351"
"243","The Body Shop","Shower Gel/Soap","China, Southeast Asia","241"
"244","Giant","Supermarket","India, Malaysia, Singapore","276"
"245","Old Town","Coffee Shop","Malaysia","233"
"246","Hankook","Tyre","Korea","New entry"
"247","Taiwan Beer","Beer","Taiwan","270"
"248","Bulgari","Fragrance/Jewellery","Regional","218"
"249","Nissan","Car/Automobile","Regional","370"
"250","Kumkang","Men’s Shoes","Korea","255"
"251","Emirates","Full-service Airlines","Regional","479"
"252","LIC","Insurance","India","290"
"253","Kasikorn Bank","Bank","Thailand","299"
"254","Fisher & Paykel","White Goods","Singapore","359"
"255","Sensodyne","Toothpaste","Regional","287"
"256","Yokohama","Tyre","Regional","224"
"257","Brother","Printer","Regional","344"
"258","British Petroleum (BP)","Petrol/Gas Station","Australia, Southeast Asia","320"
"259","Hyatt","Hotel","Regional","262"
"260","Supau","Sports Drink","Taiwan","258"
"261","CPC (China)","Petrol/Gas Station","China","295"
"262","Moccona","Coffee","Australia, Singapore","465"
"263","Powerade","Sports Drink","Australia, Hong Kong, Japan","281"
"264","Cafe Coffee Day","Coffee","India","396"
"265","Advance Info Service","Mobile Service Provider","Thailand","337"
"266","MSN","Social Networking site","Regional","99"
"267","OMO","Detergent","Australia, China","395"
"268","Singha","Beer","Hong Kong, Thailand","324"
"269","Subway","Fast-Food","Australia, China, Southeast Asia","472"
"270","Titan","Watch","India","292"
"271","Chow Tai Fook","Jewellery","China, Hong Kong","323"
"272","Lawson","Convenience Store","China, Japan","331"
"273","SK","Petrol/Gas Station","Korea, Singapore","260"
"274","DTAC","Mobile Service Provider","Thailand","315"
"275","Ethnicans","Savoury Snack Food","Hong Kong","New entry"
"276","Godiva","Chocolate","Regional","380"
"277","Pacific Coffee","Coffee Shop","Hong Kong","322"
"278","Audi","Car/Automobile","Regional","394"
"279","Amway","Toothpaste","Regional","191"
"280","Café De Coral","Fast-Food","Hong Kong","335"
"281","Surf","Detergent","Australia, India","399"
"282","GS 25","Convenience Store","Korea","713"
"283","Mild Seven","Cigarette","Regional","229"
"284","Maxis","Mobile Service Provider","Malaysia","277"
"285","Kawasaki","Motorcycle","Regional","390"
"286","Bru","Coffee","India, Malaysia, Singapore","306"
"287","Fab","Detergent","Hong Kong, Southeast Asia","309"
"288","Lakme","Cosmetics","India","289"
"289","Optus","Mobile Service Provider","Australia","305"
"290","HDFC Bank","Bank","India","341"
"291","Pringles","Snack Food","Regional","334"
"292","Westinghouse","White Goods","Australia, Singapore","297"
"293","Haitai","Food","Korea","187"
"294","Oishi","Tea","Thailand","326"
"295","Bangkok Bank","Bank","Thailand","298"
"296","Nok Air","Budget Airlines","Thailand","267"
"297","Attack","Detergent","China, Southeast Asia","274"
"298","Samyang","Instant Noodles","Korea","313"
"299","Clarks","Men’s Shoes","Regional","243"
"300","Vita","Beverage","Hong Kong, Taiwan","291"
"301","Pokka","Beverage","Japan, Singapore","537"
"302","Cheers","Convenience Store","Singapore","296"
"303","Petronas","Petrol/Gas Station","Southeast Asia","282"
"304","Apollo","Pharmacy/Drugstore","India","342"
"305","Mentos","Sweets and Candy","Regional","205"
"306","Jusco","Supermarket","Hong Kong, China, Japan","220"
"307","Namyang","Milk Powder/Milk","Korea","193"
"308","Kopitiam","Coffee Shop","Singapore","329"
"309","Daum","Internet Search Engine","Korea","156"
"310","Ping An Insurance","Insurance","China","353"
"311","Kuang-Chuan","Milk","Taiwan","362"
"312","Tatung","Consumer Electronics","Taiwan","429"
"313","Midea","White Goods","China","539"
"314","Magnolia","Milk","Malaysia, Singapore","178"
"315","Swatch","Watch","Regional","286"
"316","Maeil","Milk","Korea","213"
"317","Revlon","Cosmetics","Regional","401"
"318","Nongfu Shan Quan","Mineral Water","China","478"
"319","Great Eastern","Insurance","Malaysia, Singapore","403"
"320","Hang Seng Bank","Bank","Hong Kong","247"
"321","Wai Wai","Instant Noodles","Hong Kong, Thailand","360"
"322","Maybelline","Cosmetics","Regional","245"
"323","StarHub","Mobile Service Provider","Singapore","378"
"324","Kodak","Camera","Regional","232"
"325","Outback","Restaurant Chain","Korea, China","431"
"326","Madras Rubber Factory","Tyre","India, Malaysia","387"
"327","Glico","Snack Food","Japan, China","237"
"328","Mr. Brown","Coffee","Hong Kong, Taiwan","355"
"329","Dairy Farm","Milk","Australia, Hong Kong","239"
"330","Fuji","Camera","Regional","391"
"331","Vidal Sassoon","Shampoo","Regional","397"
"332","Hugo Boss","Fragrance","Regional","340"
"333","Chivas","Spirits","Regional","350"
"334","Bisleri","Mineral Water","Australia, India","368"
"335","AXA","Insurance","Hong Kong, Southeast Asia","471"
"336","Taj","Hotel","India","304"
"337","United Overseas Bank","Bank","Malaysia, Singapore","374"
"338","Hite","Beer","Korea","460"
"339","Ariel","Detergent","China, India","424"
"340","Dynamo","Detergent","Malaysia, Singapore","412"
"341","Biotherm","Skincare Product","Regional","249"
"342","Malee","Fruit Juice","Japan, Thailand","328"
"343","China Unicom","Mobile Service Provider","China","364"
"344","Burberry","Luxury Fashion Retailer","Regional","288"
"345","Cosmed","Pharmacy/Drugstore","Taiwan","369"
"346","M&M’s","Chocolate","Regional","266"
"347","Manning’s","Pharmacy/Drugstore","Hong Kong","272"
"348","Prada","Luxury Fashion Retailer","Regional","252"
"349","Sheraton","Hotel","Regional","393"
"350","CIMB Bank","Bank","Malaysia","411"
"351","China Southern Airlines","Full-service Airlines","China, Hong Kong","382"
"352","UCC","Coffee","Japan, China","440"
"353","Airwaves","Chewing/Bubble Gum","Australia, China","377"
"354","Kumho","Tyre","Korea","325"
"355","Sponsor","Sports Drink","Thailand","376"
"356","GS Caltex","Petrol/Gas Station","Korea","541"
"357","Eva Air","Full-service Airlines","Taiwan","278"
"358","Kissan","Sauce/Condiment","India","482"
"359","Bose","Home Audio","Regional","535"
"360","Kelvinator","White Goods","India","317"
"361","OCBC","Bank","Malaysia, Singapore","405"
"362","Ford","Car/Automobile","Regional","420"
"363","Teco","White Goods","Taiwan","464"
"364","Air China","Full-service Airlines","China","436"
"365","Fubon","Insurance","Hong Kong, Taiwan","511"
"366","Softbank","Mobile Service Provider","Japan","512"
"367","Hey Song","Carbonated Soft Drink","Taiwan","333"
"368","Del Monte","Fruit Juice","Hong Kong, Southeast Asia","339"
"369","Maxwell House","Coffee","China, Southeast Asia","381"
"370","Kia","Car/Automobile","Regional","480"
"371","Cheil Jedang (CJ)","Sauce/Condiment","Korea","771"
"372","Barista Lavazza (India)","Coffee Shop","India","534"
"373","Sagawa","Courier Company","Japan","400"
"374","Tao Ti","Tea","Hong Kong","809"
"375","Shokubutsu","Shower Gel/Soap","Japan","379"
"376","Pepsodent","Toothpaste","Australia, India","406"
"377","Cold Storage","Supermarket","Malaysia, Singapore","338"
"378","Mr. Juicy","Fruit Juice","China","327"
"379","Aquarius","Sports Drink","Japan, Malaysia","357"
"380","Nippon Oil Corporation","Petrol/Gas Station","Japan","New entry"
"381","American Express","Credit Card","Regional","425"
"382","Orion","Snack Food","Korea, China","438"
"383","Tipco","Fruit Juice","Thailand","356"
"384","Reliance (RIL)","Pharmacy/Drugstore","India, Malaysia","492"
"385","3","Mobile Service Provider","Hong Kong","352"
"386","Bioré","Skincare Product","Regional","280"
"387","Orkut","Social Networking Site","Australia, India","416"
"388","Aekyung 2080","Toothpaste","Korea","631"
"389","Anlene","Milk Powder","Singapore","354"
"390","Aeon","Supermarket","Japan","495"
"391","Bally","Men’s Shoes","Japan, China","422"
"392","Gloria Jeans","Coffee Shop","Australia, Singapore","409"
"393","Gree","White Goods","China","310"
"394","Kwality","Ice-cream","India","496"
"395","Celcom","Mobile Service Provider","Malaysia","418"
"396","Mother Dairy","Milk","India","273"
"397","China Eastern Airlines","Full-service Airlines","China","421"
"398","China Construction Bank","Bank","China","458"
"399","Cass","Beer","Korea","435"
"400","SF Express","Courier Company","China","717"
"401","Kanebo","Cosmetics","Japan, Taiwan","257"
"402","Chow Sang Sang","Jewellery","China, Hong Kong","372"
"403","Foremost","Milk","Thailand","238"
"404","Spritzer","Mineral Water","Malaysia","419"
"405","Ferrari","Car/Automobile","Regional","610"
"406","Doutor","Coffee Shop","Japan","388"
"407","Formosa Petrochemical","Petrol/Gas Station","Taiwan","384"
"408","Hush Puppies","Men’s Shoes","Regional","417"
"409","Boss","Fragrance/Men’s Fashion Retailer","Regional","240"
"410","VIPS","Restaurant Chain","Korea","529"
"411","Bajaj","Motorcycle","India","563"
"412","Nestea","Tea","Regional","989"
"413","Schweppes","Mineral Water/Carbonated Soft Drink","Hong Kong","462"
"414","M1","Mobile Service Provider","Singapore","463"
"415","Carrier","Air Conditioner","China, Southeast Asia","570"
"416","Halls","Sweets and Candy","Southeast Asia, Japan","648"
"417","Boh","Tea","Malaysia, Singapore","209"
"418","MUFG","Bank","Japan","568"
"419","MK suki","Restaurant Chain","Thailand","503"
"420","Sugus","Sweets and Candy","China, Southeast Asia","279"
"421","Ghana","Chocolate","Korea","415"
"422","AU","Mobile Service Provider","Japan","311"
"423","Macleans","Toothpaste","Australia","798"
"424","Crest","Toothpaste","China, Hong Kong","455"
"425","Close up","Toothpaste","India, Southeast Asia","777"
"426","Whiskas","Pet Food","Regional","285"
"427","Mead Johnson","Milk Powder","China, Southeast Asia","404"
"428","Maruti","Car/Automobile","India","413"
"429","POSB","Bank","Singapore","607"
"430","ANZ","Bank","Australia","487"
"431","Abbott","Milk Powder","China, Singapore","497"
"432","Van Houten","Chocolate","Regional","466"
"433","T-cat","Courier Company","Taiwan","519"
"434","Motorola","Mobile Phone","Regional","293"
"435","Indian Oil Corporation","Petrol/Gas Station","India","642"
"436","Crocodile","Men’s Fashion Retailer","Regional","349"
"437","Pizza Hut","Restaurant Chain","Regional","135"
"438","Real","Fruit Juice","Australia, India","586"
"439","Xiaonei/Renren","Social Networking Site","China","New entry"
"440","Dentyne","Chewing/Bubble Gum","Malaysia, Thailand","398"
"441","Four Seasons","Hotel","Regional","673"
"442","Peters","Ice-cream","Australia","450"
"443","TNT","Courier Company","Regional","572"
"444","Budweiser","Beer","Regional","521"
"445","Berri","Fruit Juice","Australia, Singapore","523"
"446","Ben & Jerry’s","Ice-cream","Singapore","555"
"447","Commonwealth","Bank","Australia","498"
"448","Tata","Automobile","India","256"
"449","Doll","Instant Noodles","China, Hong Kong","509"
"450","Mobil","Petrol/Gas Station","Australia, Hong Kong","516"
"451","Taiwan Mobile","Mobile Service Provider","Taiwan","307"
"452","Amore Pacific","Cosmetics","Korea","319"
"453","Jet Airways","Full-service Airlines","India, Hong Kong","408"
"454","SYM","Motorcycle","Taiwan","451"
"455","Kikkoman","Sauce/Condiment","Australia, Singapore","526"
"456","Kowloon Dairy","Milk","Hong Kong","493"
"457","Walmart","Supermarket","China, India, Southeast Asia","543"
"458","Zipel","White Goods","Korea","470"
"459","Oral B","Toothpaste","Australia, Southeast Asia","581"
"460","Compaq","Computer","Regional","430"
"461","Dreyer’s","Ice-cream","Hong Kong","601"
"462","Firefly","Budget Airlines","Malaysia","518"
"463","Kymco","Motorcycle","Taiwan","459"
"464","Guess","Watch","Southeast Asia","410"
"465","Golden Mountain","Sauce/Condiment","Thailand","New entry"
"466","IGA","Convenience Store/Supermarket","Australia","659"
"467","Cathay Life","Insurance","Taiwan","New entry"
"468","MAC","Cosmetics","Regional","385"
"469","Perrier","Mineral Water","Regional","434"
"470","Korea Express","Courier Company","Korea","New entry"
"471","Calbee","Snack Food","China, Southeast Asia","221"
"472","Cyworld","Social Networking Site","Korea","449"
"473","Wyeth","Milk Powder","China, Southeast Asia","392"
"474","Clinic","Shampoo","India","802"
"475","Hanjin","Courier Company","Korea","New entry"
"476","Jeju Air","Budget Airlines","Korea","423"
"477","Air India","Full-service Airlines","India","580"
"478","Korea Post","Courier Company","Korea","New entry"
"479","HL","Milk","Malaysia, Singapore","571"
"480","Hui Yuan","Fruit Juice","China","347"
"481","Digi","Mobile Service Provider","Malaysia","533"
"482","Shinramyun","Instant Noodles","Korea, China","574"
"483","85°C","Coffee Shop","Taiwan","456"
"484","Lin Fong Ying (LFY)","Milk","Taiwan","584"
"485","Salvatore Ferragamo","Women’s Shoes","Hong Kong, Japan","553"
"486","Donna Karan (DKNY)","Fragrance/Watch","Regional","443"
"487","Godrej","Consumer Electronics","India","389"
"488","Zara","Men’s and Women’s Fashion Retailer","Regional","348"
"489","Pauls","Milk","Australia","452"
"490","Hero Honda","Motorcycle","India","365"
"491","Myojo","Instant Noodles","India","589"
"492","Westpac","Bank","Australia","549"
"493","Vaseline","Female Skincare Product","Regional","550"
"494","Nissay","Insurance","Japan","New entry"
"495","Top Ramen","Instant Noodles","Korea","545"
"496","Hungry Jack’s","Fast-Food","Australia","800"
"497","Neutrogena","Female Skincare Product","Regional","414"
"498","Fairwood","Fast-Food","China, Hong Kong","617"
"499","Chupa Chups","Sweets and Candy","Australia, Hong Kong","622"
"500","Peninsula","Hotel","Regional","556"
"501","Matsumoto Kiyoshi","Pharmacy/Drugstore","Japan","330"
"502","Li Ning","Sporting Apparel","China, Hong Kong","468"
"503","Twisties","Savoury Snack Food","Regional","485"
"504","Bear Brand","Milk/Milk Powder","Thailand","794"
"505","My space","Social Networking Site","Regional","504"
"506","Snow Brand","Milk Powder/Milk","Hong Kong, Japan","166"
"507","Kagome","Sauce/Condiment","Japan","528"
"508","Tissot","Watch","Regional","727"
"509","JCB","Credit Card","Japan","510"
"510","Kimlan","Sauce/Condiment","Hong Kong, Taiwan","538"
"511","Iriver","Personal portable music player","China, Korea","494"
"512","Bull-Dog","Sauce/Condiment","Japan","660"
"513","Longines","Watch","Regional","546"
"514","Amoy","Sauce/Condiment","China, Hong Kong","501"
"515","Krung Thai","Bank","Thailand","639"
"516","Fanta","Carbonated Soft Drink","Regional","448"
"517","Mixi","Social Networking Site","Japan","358"
"518","Zhonghua (Cigarette)","Cigarette","China","481"
"519","Meiji (Milk Powder)","Milk Powder","Hong Kong, Japan","New entry"
"520","Volvic","Mineral Water","Regional","636"
"521","China Life","Insurance","China","520"
"522","ING","Insurance","Hong Kong, Singapore","502"
"523","TRUE","Mobile Service Provider","Thailand","719"
"524","Videocon","Consumer Electronics","India","386"
"525","Gusto","Restaurant Chain","Japan","561"
"526","Xu Fu Ji","Sweets and Candy","China","506"
"527","Tide","Detergent","Regional","583"
"528","Manulife","Insurance","China, Singapore","626"
"529","CSL","Mobile Service Provider","Hong Kong","457"
"530","IndoMie","Instant Noodles","Regional","903"
"531","Safeguard","Shower Gel/Soap","China","629"
"532","Holden","Car/Automobile","Australia","715"
"533","Aquafina","Mineral Water","China, Hong Kong, India","661"
"534","Panadol","Over-the-counter Pharmaceuticals","Regional","361"
"535","Chilsung Cider","Mineral Water","Korea","578"
"536","Shilla","Hotel","Korea","544"
"537","Regal","Men’s Shoes","Japan","439"
"538","Mazda","Car/Automobile","Regional","590"
"539","Allen’s","Sweets and Candy","Australia","577"
"540","FETnet","Mobile Service Provider","Taiwan","469"
"541","S26","Milk Powder","China, Southeast Asia","630"
"542","Fruit Tree","Fruit Juice","Malaysia, Singapore","611"
"543","Paos","Detergent","Taiwan, Thailand","595"
"544","York","Air Conditioner","China, Malaysia","709"
"545","China Pacific Insurance","Insurance","China","835"
"546","Hermès","Luxury Fashion Retailer","Regional","433"
"547","Hai Tian","Sauce/Condiment","China","895"
"548","DHC","Female Skincare Product","China, Japan, Korea","371"
"549","Crystal Jade","Restaurant Chain","Hong Kong, Singapore","594"
"550","Volkswagen","Car/Automobile","Regional","612"
"551","Blue Dart","Courier Company","India","670"
"552","Nan Shan","Insurance","Taiwan","587"
"553","Drypers","Diaper","India","683"
